epoch,blockNumber,strikeIndex,strike,amount,txType,premium,purchaseFee,netPnl,collateralTokenWithdrawAmount,rewardTokenWithdrawAmounts_DPX,rewardTokenWithdrawAmounts_JONES
1,22940062,0,45000000000,3000000000000000000,0,0,0,0,3171724838732413756,22407505461311655,5601876365328061535
1,22940325,1,52500000000,2000000000000000000,0,0,0,0,2122893705850667408,14698036504787590,3674509126196994424
1,22959024,1,52500000000,2000000000000000000,0,0,0,0,2122893705850667408,3424008482571292,856002120642837058
1,22962396,3,75000000000,7782000000000000000,0,0,0,0,7782000000000000000,8149403863668723,2037350965917199921
1,22964093,3,75000000000,500000000000000000000,0,0,0,0,500000000000000000000,449579438848150500,112394859712038241500
1,22964131,2,60000000000,500000000000000000000,0,0,0,0,500974985399432862933,450263770360382201,112565942590096091441
1,22967245,1,52500000000,2273000000000000000,0,0,0,0,2417434890986062045,2147155302995383,536788825748848575
1,22981466,2,60000000000,1016000000000000000,0,0,0,0,1017024132976835786,894695346792189,223673836698048212
1,23020472,2,60000000000,11427000000000000000,0,0,0,0,11442384825302204055,9544138852114485,2386034713028624717
1,23062051,1,52500000000,6273000000000000000,1,289092082023193955,8174999974825067,0,0,0,0
1,23062188,2,60000000000,512443000000000000000,1,345622330591354734,30999999958782224,0,0,0,0
